Tipo CLASS Valor class            Linea 1                Posicion 0   
Tipo ID   Valor color            Linea 7                Posicion 177 
Tipo COLON Valor :                Linea 7                Posicion 183 
Tipo ID   Valor colores          Linea 7                Posicion 185 
Tipo RPAREN Valor )                Linea 7                Posicion 192 
Tipo LBRACE Valor {                Linea 7                Posicion 194 
Tipo SYSTEM Valor System           Linea 8                Posicion 208 
Tipo PUNTO Valor .                Linea 8                Posicion 214 
Tipo OUT  Valor out              Linea 8                Posicion 215 
Tipo PUNTO Valor .                Linea 8                Posicion 218 
Tipo PRINTLN Valor println          Linea 8                Posicion 219 
Tipo LPAREN Valor (                Linea 8                Posicion 226 
Tipo ID   Valor color            Linea 8                Posicion 227 
Tipo RPAREN Valor )                Linea 8                Posicion 232 
Tipo SEMI Valor ;                Linea 8                Posicion 233 
Tipo RBRACE Valor }                Linea 9                Posicion 243 
Tipo FOR  Valor for              Linea 11               Posicion 262 
Tipo LPAREN Valor (                Linea 11               Posicion 266 
Tipo INT  Valor int              Linea 11               Posicion 267 
Tipo ID   Valor i                Linea 11               Posicion 271 
Tipo EQUALS Valor =                Linea 11               Posicion 273 
Tipo NUMBER Valor 0                Linea 11               Posicion 275 
Tipo SEMI Valor ;                Linea 11               Posicion 276 
Tipo ID   Valor i                Linea 11               Posicion 278 
Tipo LT   Valor <                Linea 11               Posicion 280 
Tipo ID   Valor numeros          Linea 11               Posicion 282 
Tipo PUNTO Valor .                Linea 11               Posicion 289 
Tipo ID   Valor length           Linea 11               Posicion 290 
Tipo SEMI Valor ;                Linea 11               Posicion 296 
Tipo ID   Valor i                Linea 11               Posicion 298 
Tipo INCREMENT Valor ++               Linea 11               Posicion 299 
Tipo RPAREN Valor )                Linea 11               Posicion 301 
Tipo LBRACE Valor {                Linea 11               Posicion 303 
Tipo SYSTEM Valor System           Linea 12               Posicion 317 
Tipo PUNTO Valor .                Linea 12               Posicion 323 
Tipo OUT  Valor out              Linea 12               Posicion 324 
Tipo PUNTO Valor .                Linea 12               Posicion 327 
Tipo PRINTLN Valor println          Linea 12               Posicion 328 
Tipo LPAREN Valor (                Linea 12               Posicion 335 
Tipo ID   Valor numeros          Linea 12               Posicion 336 
Tipo LBRACKET Valor [                Linea 12               Posicion 343 
Tipo ID   Valor i                Linea 12               Posicion 344 
Tipo RBRACKET Valor ]                Linea 12               Posicion 345 
Tipo RPAREN Valor )                Linea 12               Posicion 346 
Tipo SEMI Valor ;                Linea 12               Posicion 347 
Tipo RBRACE Valor }                Linea 13               Posicion 357 
Tipo INT  Valor int              Linea 15               Posicion 376 
Tipo ID   Valor puntaje          Linea 15               Posicion 380 
Tipo EQUALS Valor =                Linea 15               Posicion 388 
Tipo NUMBER Valor 85               Linea 15               Posicion 390 
Tipo SEMI Valor ;                Linea 15               Posicion 392 
Tipo BOOLEAN Valor boolean          Linea 17               Posicion 411 
Tipo ID   Valor isTrue           Linea 17               Posicion 419 
Tipo EQUALS Valor =                Linea 17               Posicion 426 
Tipo TRUE Valor True             Linea 17               Posicion 428 
Tipo SEMI Valor ;                Linea 17               Posicion 432 
Tipo STRING Valor String           Linea 19               Posicion 451 
Tipo ID   Valor palabra          Linea 19               Posicion 458 
Tipo EQUALS Valor =                Linea 19               Posicion 466 
Tipo STRING_LITERAL Valor "Hola mundo"     Linea 19               Posicion 468 
Tipo SEMI Valor ;                Linea 19               Posicion 480 
Tipo DOUBLE Valor double           Linea 21               Posicion 499 
Tipo ID   Valor precio           Linea 21               Posicion 506 
Tipo EQUALS Valor =                Linea 21               Posicion 513 
Tipo NUMBER Valor 3.99             Linea 21               Posicion 515 
Tipo SEMI Valor ;                Linea 21               Posicion 519 
Tipo STRING Valor String           Linea 23               Posicion 538 
Tipo LBRACKET Valor [                Linea 23               Posicion 544 
Tipo RBRACKET Valor ]                Linea 23               Posicion 545 
Tipo ID   Valor colores          Linea 23               Posicion 547 
Tipo EQUALS Valor =                Linea 23               Posicion 555 
Tipo LBRACE Valor {                Linea 23               Posicion 557 
Tipo STRING_LITERAL Valor "azul"           Linea 23               Posicion 558 
Tipo COMMA Valor ,                Linea 23               Posicion 564 
Tipo STRING_LITERAL Valor "morado"         Linea 23               Posicion 566 
Tipo COMMA Valor ,                Linea 23               Posicion 574 
Tipo STRING_LITERAL Valor "rosa"           Linea 23               Posicion 576 
Tipo COMMA Valor ,                Linea 23               Posicion 582 
Tipo STRING_LITERAL Valor "amarillo"       Linea 23               Posicion 584 
Tipo RBRACE Valor }                Linea 23               Posicion 594 
Tipo SEMI Valor ;                Linea 23               Posicion 595 
Tipo INT  Valor int              Linea 25               Posicion 614 
Tipo LBRACKET Valor [                Linea 25               Posicion 617 
Tipo RBRACKET Valor ]                Linea 25               Posicion 618 
Tipo ID   Valor numeros          Linea 25               Posicion 620 
Tipo EQUALS Valor =                Linea 25               Posicion 628 
Tipo LBRACE Valor {                Linea 25               Posicion 630 
Tipo NUMBER Valor 1                Linea 25               Posicion 631 
Tipo COMMA Valor ,                Linea 25               Posicion 632 
Tipo NUMBER Valor 2                Linea 25               Posicion 634 
Tipo COMMA Valor ,                Linea 25               Posicion 635 
Tipo NUMBER Valor 3                Linea 25               Posicion 637 
Tipo COMMA Valor ,                Linea 25               Posicion 638 
Tipo NUMBER Valor 4                Linea 25               Posicion 640 
Tipo COMMA Valor ,                Linea 25               Posicion 641 
Tipo NUMBER Valor 5                Linea 25               Posicion 643 
Tipo RBRACE Valor }                Linea 25               Posicion 644 
Tipo SEMI Valor ;                Linea 25               Posicion 645 
Tipo INT  Valor int              Linea 27               Posicion 664 
Tipo LBRACKET Valor [                Linea 27               Posicion 667 
Tipo RBRACKET Valor ]                Linea 27               Posicion 668 
Tipo ID   Valor objetos_cocina   Linea 27               Posicion 670 
Tipo EQUALS Valor =                Linea 27               Posicion 685 
Tipo LBRACE Valor {                Linea 27               Posicion 687 
Tipo ID   Valor mesa             Linea 27               Posicion 688 
Tipo COMMA Valor ,                Linea 27               Posicion 692 
Tipo ID   Valor silla            Linea 27               Posicion 694 
Tipo COMMA Valor ,                Linea 27               Posicion 699 
Tipo ID   Valor estufa           Linea 27               Posicion 701 
Tipo COMMA Valor ,                Linea 27               Posicion 707 
Tipo ID   Valor cuchillo         Linea 27               Posicion 709 
Tipo RBRACE Valor }                Linea 27               Posicion 717 
Tipo SEMI Valor ;                Linea 27               Posicion 718 
Tipo IF   Valor if               Linea 29               Posicion 737 
Tipo LPAREN Valor (                Linea 29               Posicion 740 
Tipo ID   Valor palabra          Linea 29               Posicion 741 
Tipo EQ   Valor ==               Linea 29               Posicion 749 
Tipo STRING_LITERAL Valor "Hola"           Linea 29               Posicion 752 
Tipo RPAREN Valor )                Linea 29               Posicion 758 
Tipo LBRACE Valor {                Linea 29               Posicion 760 
Tipo SYSTEM Valor System           Linea 30               Posicion 774 
Tipo PUNTO Valor .                Linea 30               Posicion 780 
Tipo OUT  Valor out              Linea 30               Posicion 781 
Tipo PUNTO Valor .                Linea 30               Posicion 784 
Tipo PRINTLN Valor println          Linea 30               Posicion 785 
Tipo LPAREN Valor (                Linea 30               Posicion 792 
Tipo STRING_LITERAL Valor "Excelente puntaje." Linea 30               Posicion 793 
Tipo RPAREN Valor )                Linea 30               Posicion 813 
Tipo SEMI Valor ;                Linea 30               Posicion 814 
Tipo STRING Valor String           Linea 31               Posicion 828 
Tipo ID   Valor palabra          Linea 31               Posicion 835 
Tipo EQUALS Valor =                Linea 31               Posicion 843 
Tipo STRING_LITERAL Valor "Hola mundo"     Linea 31               Posicion 845 
Tipo SEMI Valor ;                Linea 31               Posicion 857 
Tipo RBRACE Valor }                Linea 32               Posicion 867 
Tipo ELSE Valor else             Linea 32               Posicion 869 
Tipo IF   Valor if               Linea 32               Posicion 874 
Tipo LPAREN Valor (                Linea 32               Posicion 877 
Tipo ID   Valor puntaje          Linea 32               Posicion 878 
Tipo GE   Valor >=               Linea 32               Posicion 886 
Tipo NUMBER Valor 70               Linea 32               Posicion 889 
Tipo RPAREN Valor )                Linea 32               Posicion 891 
Tipo LBRACE Valor {                Linea 32               Posicion 893 
Tipo SYSTEM Valor System           Linea 33               Posicion 907 
Tipo PUNTO Valor .                Linea 33               Posicion 913 
Tipo OUT  Valor out              Linea 33               Posicion 914 
Tipo PUNTO Valor .                Linea 33               Posicion 917 
Tipo PRINTLN Valor println          Linea 33               Posicion 918 
Tipo LPAREN Valor (                Linea 33               Posicion 925 
Tipo STRING_LITERAL Valor "Buen puntaje."  Linea 33               Posicion 926 
Tipo RPAREN Valor )                Linea 33               Posicion 941 
Tipo SEMI Valor ;                Linea 33               Posicion 942 
Tipo RBRACE Valor }                Linea 34               Posicion 952 
Tipo ELSE Valor else             Linea 34               Posicion 954 
Tipo LBRACE Valor {                Linea 34               Posicion 959 
Tipo SYSTEM Valor System           Linea 35               Posicion 973 
Tipo PUNTO Valor .                Linea 35               Posicion 979 
Tipo OUT  Valor out              Linea 35               Posicion 980 
Tipo PUNTO Valor .                Linea 35               Posicion 983 
Tipo PRINTLN Valor println          Linea 35               Posicion 984 
Tipo LPAREN Valor (                Linea 35               Posicion 991 
Tipo STRING_LITERAL Valor "Puntaje regular." Linea 35               Posicion 992 
Tipo RPAREN Valor )                Linea 35               Posicion 1010
Tipo SEMI Valor ;                Linea 35               Posicion 1011
Tipo RBRACE Valor }                Linea 36               Posicion 1021
Tipo RBRACE Valor }                Linea 37               Posicion 1027
Tipo RBRACE Valor }                Linea 38               Posicion 1029
